;Ubah data;23/01/2013 09:40:43; (273);
974357959;Insert Data Faktur Penjualan dgn Pemebeli PT BANK HIMPUNAN SAUDARA 1906 Tbk;23/01/2013 09:44:10; di Nopend 61300;
974357959;Ubah Data Faktur Penjualan 010.000-13.00000065;23/01/2013 09:45:58; di Nopend 61300 dengan id (30330);
969336100;Insert Data Faktur Penjualan dgn Pemebeli BANK BUMI ARTA  SOLO;23/01/2013 09:46:22; di Nopend 57100;
969336100;Insert Data Faktur Penjualan dgn Pemebeli BTPN SOLO;23/01/2013 09:52:18; di Nopend 57100;
;Insert data pegawai;23/01/2013 09:52:27; ();
;Insert data pegawai;23/01/2013 09:53:33; ();
FP-1;Ubah data user;23/01/2013 09:57:10;966279773 ();
FP-1;Ubah status data user;23/01/2013 09:57:13;370 (0);
FP-1;Insert data user;23/01/2013 09:58:45;990405126 ();
FP-1;Insert data user;23/01/2013 09:59:23;969320577 ();
;Ubah data;23/01/2013 10:00:05; (452);
;Ubah data;23/01/2013 10:00:14; (453);
;Ubah Status Verifikasi;23/01/2013 10:01:53; (30574);
;Ubah Status Verifikasi;23/01/2013 10:02:04; (30576);
;Ubah Status Verifikasi;23/01/2013 10:02:14; (30577);
;Ubah Status Verifikasi;23/01/2013 10:02:27; (30630);
;Ubah Status Verifikasi;23/01/2013 10:02:40; (30639);
;Ubah Status Verifikasi;23/01/2013 10:02:51; (30641);
;Ubah Status Verifikasi;23/01/2013 10:03:00; (30643);
;Ubah Status Verifikasi;23/01/2013 10:08:02; (25733);
;Ubah Status Verifikasi;23/01/2013 10:08:48; (27881);
;Insert data pegawai;23/01/2013 10:09:40; ();
;Ubah data pegawai;23/01/2013 10:09:54; (182);
FP-1;Ubah data user;23/01/2013 10:10:18;964225621 ();
FP-1;Ubah data user;23/01/2013 10:10:34;987392980 ();
974357959;Insert Data Faktur Penjualan dgn Pemebeli PT BANK TABUNGAN PENSIUN NASIONAL,, TBK;23/01/2013 10:10:51; di Nopend 61300;
FP-1;Insert data user;23/01/2013 10:11:05;968245882 ();
;Hapus data kantor;23/01/2013 10:11:14; (171);
;Ubah data;23/01/2013 10:11:34; (163);
967363548;Ubah Data Faktur Penjualan 010.000-12.00024409;23/01/2013 10:13:30; di Nopend 40005 dengan id (25733);
974357959;Insert Data Faktur Penjualan dgn Pemebeli KSP Arta Mitra Surya;23/01/2013 10:14:17; di Nopend 61300;
;Insert data pegawai;23/01/2013 10:14:30; ();
;Insert data pegawai;23/01/2013 10:15:10; ();
974357959;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI WANITA SIMPAN PINJAM DWI MAKMUR;23/01/2013 10:15:57; di Nopend 61300;
FP-1;Insert data user;23/01/2013 10:15:59;971325145 ();
FP-1;Ubah data user;23/01/2013 10:16:10;971325145 ();
FP-1;Insert data user;23/01/2013 10:16:39;963208950 ();
;Hapus data kantor;23/01/2013 10:16:53; (183);
968238361;Terkait BiayaDINAS PENDIDIKAN KABUPATEN INRAGIRI HILIR;23/01/2013 10:17:03; di Nopend 29200;
;Ubah data;23/01/2013 10:17:18; (492);
967363548;Ubah Data Faktur Penjualan 010.000-12.00026555;23/01/2013 10:17:23; di Nopend 40005 dengan id (27881);
;Ubah data;23/01/2013 10:17:25; (493);
974357959;Insert Data Faktur Penjualan dgn Pemebeli KSP PRIMKOPABRI;23/01/2013 10:18:12; di Nopend 61300;
974357959;Insert Data Faktur Penjualan dgn Pemebeli KSP SEJAHTERA NGANJUK;23/01/2013 10:22:03; di Nopend 61300;
974357959;Insert Data Faktur Penjualan dgn Pemebeli BANK BUMI ARTA INDONESIA;23/01/2013 10:23:37; di Nopend 61300;
974357959;Insert Data Faktur Penjualan dgn Pemebeli KSU RAPPODI;23/01/2013 10:25:31; di Nopend 61300;
974357959;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI NUSANTARA;23/01/2013 10:27:20; di Nopend 61300;
974357959;Insert Data Faktur Penjualan dgn Pemebeli KSP PURNABAKTI;23/01/2013 10:29:29; di Nopend 61300;
974357959;Insert Data Faktur Penjualan dgn Pemebeli KSP SRI HADI DARMA;23/01/2013 10:31:22; di Nopend 61300;
971341679;Insert Data Faktur Penjualan dgn Pemebeli PT BPR GRACIA MANDIRI;23/01/2013 10:32:18; di Nopend 17400;
974357959;Insert Data Faktur Penjualan dgn Pemebeli SIMPAN PINJAM KSU N A S A R I;23/01/2013 10:33:33; di Nopend 61300;
974357959;Insert Data Faktur Penjualan dgn Pemebeli PT BANK HIMPUNAN SAUDARA 1906 Tbk;23/01/2013 10:35:01; di Nopend 61300;
;Insert data;23/01/2013 10:36:00; ();
;Insert data;23/01/2013 10:38:38; ();
964357112;Insert Data Faktur Penjualan dgn Pemebeli PT BANK MANDIRI (PERSERO) TBK;23/01/2013 10:39:34; di Nopend 11000;
964357112;Ubah Data Faktur Penjualan 030.000-13.00000395;23/01/2013 10:41:14; di Nopend 11000 dengan id (30660);
964357112;Ubah Data Faktur Penjualan 030.000-13.00000395;23/01/2013 10:41:47; di Nopend 11000 dengan id (30660);
;Insert data;23/01/2013 10:42:21; ();
965233418;Ubah Data Faktur Penjualan 010.000-13.00000340;23/01/2013 10:42:47; di Nopend 36000 dengan id (30605);
;Insert data;23/01/2013 10:46:42; ();
969293136;Ubah Data Faktur Penjualan 010.000-13.00000368;23/01/2013 10:47:02; di Nopend 29100 dengan id (30633);
969293136;Ubah Data Faktur Penjualan 010.000-13.00000370;23/01/2013 10:47:28; di Nopend 29100 dengan id (30635);
964357112;Ubah Data Faktur Penjualan 030.000-13.00000395;23/01/2013 10:48:31; di Nopend 11000 dengan id (30660);
