967276068;Terkait PendapatanKOPERASI NUSANTARA;26/02/2013 08:54:52; di Nopend 64400;
;Ubah Status Verifikasi;26/02/2013 08:55:07; (1075);
;Ubah Status Verifikasi;26/02/2013 08:55:13; (1078);
;Ubah Status Verifikasi;26/02/2013 08:55:18; (1079);
;Ubah Status Verifikasi;26/02/2013 08:55:26; (1081);
;Ubah Status Verifikasi;26/02/2013 08:55:31; (1083);
;Ubah Status Verifikasi;26/02/2013 08:55:35; (1085);
;Ubah Status Verifikasi;26/02/2013 08:55:40; (1086);
;Ubah Status Verifikasi;26/02/2013 08:55:44; (1087);
971358140;Insert Data Faktur Penjualan dgn Pemebeli PT BANK HIMPUNAN SAUDARA;26/02/2013 08:55:45; di Nopend 55700;
;Ubah Status Verifikasi;26/02/2013 08:55:49; (1088);
;Ubah Status Verifikasi;26/02/2013 08:55:53; (1089);
964195665;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI DANA KARYA;26/02/2013 08:55:53; di Nopend 12000;
;Ubah Status Verifikasi;26/02/2013 08:55:57; (1090);
967276068;Terkait PendapatanBANK C N B ;26/02/2013 08:56:21; di Nopend 64400;
;Ubah Status Verifikasi;26/02/2013 08:56:30; (674);
971358140;Insert Data Faktur Penjualan dgn Pemebeli PT CENTRATAMA NASIONAL BANK;26/02/2013 08:57:48; di Nopend 55700;
967276068;Terkait PendapatanPT CIMB NIAGA BANDUNG;26/02/2013 08:58:44; di Nopend 64400;
971358140;Insert Data Faktur Penjualan dgn Pemebeli PT.BANK DESA BHAKTI DAYA EKONOMI;26/02/2013 08:59:40; di Nopend 55700;
973351895;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI ALIANSI;26/02/2013 09:00:40; di Nopend 40900;
986392730;Insert Data Faktur Penjualan dgn Pemebeli KOP SERBA USAHA NASARI ;26/02/2013 09:01:12; di Nopend 24300;
971358140;Insert Data Faktur Penjualan dgn Pemebeli PD BPR Bapas 69 Magelang;26/02/2013 09:01:48; di Nopend 55700;
986392730;Ubah Data Faktur Penjualan 010.000-13.00003407;26/02/2013 09:02:26; di Nopend 24300 dengan id (33675);
986392730;Hapus data item faktur pajak penjualan;26/02/2013 09:02:56; (33675);
986392730;Pembatalan Faktur Pajak Keluaran 010.000-13.00003407;26/02/2013 09:03:02; id : (33675);
967276068;Terkait BiayaM Zaini Toufik;26/02/2013 09:03:26; di Nopend 64400;
973351895;Insert Data Faktur Penjualan dgn Pemebeli PT BPR SYARIAH CIPAGANTI;26/02/2013 09:03:27; di Nopend 40900;
986392730;Ubah Data Faktur Penjualan 010.000-13.00003407;26/02/2013 09:03:31; di Nopend 24300 dengan id (33675);
971358140;Insert Data Faktur Penjualan dgn Pemebeli KSU Nasari;26/02/2013 09:04:06; di Nopend 55700;
986392730;Ubah Data Faktur Penjualan 010.000-13.00003407;26/02/2013 09:04:10; di Nopend 24300 dengan id (33675);
986392730;Ubah Data Faktur Penjualan 010.000-13.00003407;26/02/2013 09:05:04; di Nopend 24300 dengan id (33675);
983390733;Insert Data Faktur Penjualan dgn Pemebeli KSP NASARI;26/02/2013 09:05:16; di Nopend 33100;
971358140;Insert Data Faktur Penjualan dgn Pemebeli MAKMUR;26/02/2013 09:06:20; di Nopend 55700;
973351895;Insert Data Faktur Penjualan dgn Pemebeli Koperasi KOSPPI;26/02/2013 09:06:21; di Nopend 40900;
986392730;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI NUSANTARA;26/02/2013 09:07:21; di Nopend 24300;
973351895;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Serba Usaha Bakti Pos;26/02/2013 09:08:51; di Nopend 40900;
971358140;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI NUSANTARA;26/02/2013 09:09:06; di Nopend 55700;
983390940;Terkait PendapatanPRIMKOPABRI SATYA KARYA;26/02/2013 09:09:09; di Nopend 41200;
976364372;Terkait PendapatanKOPERASI DANA KARYA;26/02/2013 09:10:08; di Nopend 17000;
986392730;Insert Data Faktur Penjualan dgn Pemebeli INKOPABRI;26/02/2013 09:10:17; di Nopend 24300;
971358140;Insert Data Faktur Penjualan dgn Pemebeli BDE ( BHAKTI DAYA EKONOMI ) BANTUL;26/02/2013 09:10:55; di Nopend 55700;
9673558622;Terkait BiayaPT HARDJA MOEKTI CONSULTANT;26/02/2013 09:10:55; di Nopend 10004;
973351895;Insert Data Faktur Penjualan dgn Pemebeli BPR DAYA LUMBUNG ASIA;26/02/2013 09:11:24; di Nopend 40900;
983390940;Terkait PendapatanPRIMKOPABRI WARGI RAHAYU;26/02/2013 09:12:07; di Nopend 41200;
976364372;Terkait PendapatanKoperasi Simpan Pinjam Mekarsari;26/02/2013 09:13:04; di Nopend 17000;
971358140;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI RUKUN;26/02/2013 09:13:21; di Nopend 55700;
9673558622;Terkait BiayaSlamet Sukardi;26/02/2013 09:14:37; di Nopend 10004;
961196063;Terkait BiayaPrimkopkar Merpati;26/02/2013 09:14:39; di Nopend 68200;
968307024;Insert Data Faktur Penjualan dgn Pemebeli BANK BTPN;26/02/2013 09:15:45; di Nopend 69400;
983390940;Terkait PendapatanDPC PEPABRI SUBANG;26/02/2013 09:15:53; di Nopend 41200;
9673558622;Terkait BiayaPT. ADIMULYA MITRAKENCANA;26/02/2013 09:16:58; di Nopend 10004;
;Ubah data;26/02/2013 09:17:04; (10807);
983390733;Insert Data Faktur Penjualan dgn Pemebeli Ksp Rukun Makmur;26/02/2013 09:17:19; di Nopend 33100;
;Ubah data;26/02/2013 09:17:38; (10772);
986392730;Insert Data Faktur Penjualan dgn Pemebeli PT. BANK BTPN KCP TAKENGON;26/02/2013 09:17:59; di Nopend 24300;
968307024;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI NUSANTARA;26/02/2013 09:18:10; di Nopend 69400;
983390733;Insert Data Faktur Penjualan dgn Pemebeli Ksp Jati Karya;26/02/2013 09:18:29; di Nopend 33100;
968307024;Ubah Data Faktur Penjualan 010.000-13.00003421;26/02/2013 09:18:32; di Nopend 69400 dengan id (33689);
968307024;Insert Data Faktur Penjualan dgn Pemebeli KSP Arta Mitra Surya;26/02/2013 09:20:08; di Nopend 69400;
970351677;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI NUSANTARA;26/02/2013 09:21:09; di Nopend 53400;
968307024;Insert Data Faktur Penjualan dgn Pemebeli SIMPAN PINJAM KSU N A S A R I;26/02/2013 09:21:49; di Nopend 69400;
