960191975;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Nusantara;27/02/2013 09:53:12; di Nopend 42200;
975360036;Insert Data Faktur Penjualan dgn Pemebeli PT BPR Danapos;27/02/2013 09:53:43; di Nopend 43100;
963234559;Insert Data Faktur Penjualan dgn Pemebeli BTPN KCP BIMA;27/02/2013 09:54:08; di Nopend 84100;
978365999;Terkait PendapatanPT ADIRA QUANTUM MULTIFINANCE;27/02/2013 09:55:20; di Nopend 10009;
975360036;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Simpan Pinjam Usaha Mandiri;27/02/2013 09:55:26; di Nopend 43100;
963234559;Insert Data Faktur Penjualan dgn Pemebeli INKOPABRI BIMA;27/02/2013 09:55:57; di Nopend 84100;
989399370;Insert Data Faktur Penjualan dgn Pemebeli BTPN;27/02/2013 09:55:58; di Nopend 86300;
984393596;Insert Data Faktur Penjualan dgn Pemebeli KSP BERKAT BULUKUMBA;27/02/2013 09:56:02; di Nopend 92500;
963234559;Ubah Data Faktur Penjualan 010.000-13.00003596;27/02/2013 09:56:12; di Nopend 84100 dengan id (33864);
963234559;Ubah Data Faktur Penjualan 010.000-13.00003599;27/02/2013 09:56:26; di Nopend 84100 dengan id (33867);
963234559;Ubah Data Faktur Penjualan 010.000-13.00003604;27/02/2013 09:56:42; di Nopend 84100 dengan id (33872);
989399370;Insert Data Faktur Penjualan dgn Pemebeli KSP Arta Mitra Surya;27/02/2013 09:57:28; di Nopend 86300;
978365999;Terkait PendapatanPT ADIRA QUANTUM MULTIFINANCE;27/02/2013 09:57:31; di Nopend 10009;
960191975;Insert Data Faktur Penjualan dgn Pemebeli BANK HS;27/02/2013 09:58:26; di Nopend 42200;
978365999;Terkait PendapatanPT ADIRA QUANTUM MULTIFINANCE;27/02/2013 09:58:39; di Nopend 10009;
975359903;Terkait PendapatanBANK BTN;27/02/2013 09:58:46; di Nopend 56100;
989399370;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI KREDIT BAHTERA ;27/02/2013 09:59:30; di Nopend 86300;
963234559;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI PP POLRI;27/02/2013 10:00:21; di Nopend 84100;
984393596;Insert Data Faktur Penjualan dgn Pemebeli KSP NASARI CAB. MAKASSAR;27/02/2013 10:00:27; di Nopend 92500;
975359903;Terkait PendapatanBANK BTPN;27/02/2013 10:00:31; di Nopend 56100;
989399370;Insert Data Faktur Penjualan dgn Pemebeli PRIMER KOPERASI WREDATAMA;27/02/2013 10:00:46; di Nopend 86300;
975360036;Insert Data Faktur Penjualan dgn Pemebeli KSU WAHANA MITRA KENCANA;27/02/2013 10:00:54; di Nopend 43100;
963234559;Insert Data Faktur Penjualan dgn Pemebeli LUMBUNG KREDIT PEDESAAN (LKP);27/02/2013 10:01:27; di Nopend 84100;
989399370;Insert Data Faktur Penjualan dgn Pemebeli PEPABRI ENDE;27/02/2013 10:01:56; di Nopend 86300;
960191975;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI DANA KARYA;27/02/2013 10:02:01; di Nopend 42200;
989399370;Insert Data Faktur Penjualan dgn Pemebeli BRI CABANG BAJAWA;27/02/2013 10:02:58; di Nopend 86300;
963234559;Insert Data Faktur Penjualan dgn Pemebeli KSP ARTHA MITRA SEJAHTERA;27/02/2013 10:03:02; di Nopend 84100;
975360036;Insert Data Faktur Penjualan dgn Pemebeli KSU CITRA MANDIRI LESTARI;27/02/2013 10:03:30; di Nopend 43100;
975360036;Ubah Data Faktur Penjualan 010.000-13.00003583;27/02/2013 10:03:50; di Nopend 43100 dengan id (33851);
975359903;Terkait PendapatanKOPERASI NUSANTARA;27/02/2013 10:03:57; di Nopend 56100;
975360036;Ubah Data Faktur Penjualan 010.000-13.00003584;27/02/2013 10:03:58; di Nopend 43100 dengan id (33852);
989399370;Ubah Data Faktur Penjualan 010.000-13.00003617;27/02/2013 10:04:10; di Nopend 86300 dengan id (33885);
