opr97000;Ubah Data Faktur Penjualan 040.000-12.00008424;23/11/2012 06:35:29; di Nopend 97000 dengan id (9719);
opr97700;Terkait Daftarbuktipotong;23/11/2012 13:03:21; di Nopend 97700 dengan id ();
;Ubah Status Verifikasi;23/11/2012 13:03:46; (569);
;Ubah Status Verifikasi;23/11/2012 13:03:48; (586);
;Ubah Status Verifikasi;23/11/2012 13:03:53; (588);
ver97000;Terkait Daftarbuktipotong;23/11/2012 13:04:23; di Nopend  dengan id ();
opr123;Terkait Daftarbuktipotong;23/11/2012 13:04:23; di Nopend 10005 dengan id ();
opr98100;Terkait Daftarbuktipotong;23/11/2012 13:04:33; di Nopend 98100 dengan id ();
;Ubah Status Verifikasi;23/11/2012 13:04:35; (561);
;Ubah Status Verifikasi;23/11/2012 13:04:37; (582);
;Ubah Status Verifikasi;23/11/2012 13:04:41; (584);
ver98300;Terkait Daftarbuktipotong;23/11/2012 13:04:44; di Nopend 98300 dengan id ();
FP-1;Ubah data user;23/11/2012 13:06:07;ver99900 ();
opr98100;Terkait Daftarbuktipotong;23/11/2012 13:07:39; di Nopend 98100 dengan id ();
;Ubah Status Verifikasi;23/11/2012 13:07:45; (560);
;Ubah Status Verifikasi;23/11/2012 13:07:55; (585);
;Ubah Status Verifikasi;23/11/2012 13:08:06; (581);
;Ubah Status Verifikasi;23/11/2012 13:08:12; (581);
opr98800;Terkait Daftarbuktipotong;23/11/2012 13:08:24; di Nopend 98800 dengan id ();
opr97600;Terkait Daftarbuktipotong;23/11/2012 13:10:52; di Nopend 97600 dengan id ();
ver98400;Terkait Daftarbuktipotong;23/11/2012 13:11:00; di Nopend 98400 dengan id ();
ver98400;Terkait Daftarbuktipotong;23/11/2012 13:12:26; di Nopend 98400 dengan id ();
opr99600;Terkait Daftarbuktipotong;23/11/2012 13:12:37; di Nopend 99600 dengan id ();
opr98800;Terkait Ssppph23biaya ;23/11/2012 13:13:42; di Nopend 98800 dengan id ();
opr98800;Terkait Ssppph23biaya ;23/11/2012 13:14:03; di Nopend 98800 dengan id ();
opr97700;Terkait Ssppph23biaya ;23/11/2012 13:17:12; di Nopend 97700 dengan id ();
opr123;Terkait Ssppph23biaya ;23/11/2012 13:17:17; di Nopend 10005 dengan id ();
opr97600;Terkait Ssppph23biaya ;23/11/2012 13:17:18; di Nopend 97600 dengan id ();
opr99900;Terkait Ssppph23biaya ;23/11/2012 13:17:22; di Nopend 99900 dengan id ();
ver98300;Terkait Ssppph23biaya ;23/11/2012 13:17:23; di Nopend 98300 dengan id ();
opr98800;Terkait Ssppph23biaya ;23/11/2012 13:17:26; di Nopend 98800 dengan id ();
opr97700;Terkait Ssppph23biaya ;23/11/2012 13:17:27; di Nopend 97700 dengan id ();
ver98400;Terkait Ssppph23biaya ;23/11/2012 13:17:37; di Nopend 98400 dengan id ();
