972332303;Pembatalan Bukti Potong 000001/40000/0113;15/02/2013 08:45:36; id : (647);
;Ubah Status Verifikasi;15/02/2013 10:30:46; (25112);
;Ubah Status Verifikasi;15/02/2013 10:30:50; (25111);
;Ubah Status Verifikasi;15/02/2013 10:30:54; (25110);
;Ubah Status Verifikasi;15/02/2013 10:30:58; (25109);
;Ubah Status Verifikasi;15/02/2013 10:31:02; (25108);
;Ubah Status Verifikasi;15/02/2013 10:31:07; (25107);
;Ubah Status Verifikasi;15/02/2013 10:34:55; (22280);
;Ubah Status Verifikasi;15/02/2013 10:35:10; (22281);
;Ubah Status Verifikasi;15/02/2013 10:35:22; (22285);
;Ubah Status Verifikasi;15/02/2013 10:35:36; (22286);
;Ubah Status Verifikasi;15/02/2013 10:35:49; (22287);
;Ubah Status Verifikasi;15/02/2013 10:36:01; (22289);
;Ubah Status Verifikasi;15/02/2013 10:36:13; (22291);
;Ubah Status Verifikasi;15/02/2013 10:36:25; (22294);
;Ubah Status Verifikasi;15/02/2013 10:36:37; (22295);
;Ubah Status Verifikasi;15/02/2013 10:36:50; (22297);
;Ubah Status Verifikasi;15/02/2013 10:37:00; (22299);
;Ubah Status Verifikasi;15/02/2013 10:38:16; (25106);
;Ubah Status Verifikasi;15/02/2013 10:38:39; (21928);
;Ubah Status Verifikasi;15/02/2013 10:38:49; (21929);
;Ubah Status Verifikasi;15/02/2013 10:38:54; (21933);
;Ubah Status Verifikasi;15/02/2013 10:39:01; (21937);
;Ubah Status Verifikasi;15/02/2013 10:39:08; (21939);
;Ubah Status Verifikasi;15/02/2013 10:39:14; (21941);
;Ubah Status Verifikasi;15/02/2013 10:39:21; (21942);
;Ubah Status Verifikasi;15/02/2013 10:39:26; (21945);
;Ubah Status Verifikasi;15/02/2013 10:39:50; (25267);
;Ubah Status Verifikasi;15/02/2013 10:39:59; (25266);
;Ubah Status Verifikasi;15/02/2013 10:40:14; (25260);
;Ubah Status Verifikasi;15/02/2013 10:40:23; (25261);
;Ubah Status Verifikasi;15/02/2013 10:40:49; (25128);
;Ubah Status Verifikasi;15/02/2013 10:40:59; (25129);
;Ubah Status Verifikasi;15/02/2013 10:41:03; (25130);
;Ubah Status Verifikasi;15/02/2013 10:41:07; (25133);
;Ubah Status Verifikasi;15/02/2013 10:41:10; (25134);
;Ubah Status Verifikasi;15/02/2013 10:41:14; (25137);
;Ubah Status Verifikasi;15/02/2013 10:41:18; (25139);
;Ubah Status Verifikasi;15/02/2013 10:41:23; (25142);
;Ubah Status Verifikasi;15/02/2013 10:41:33; (21224);
;Ubah Status Verifikasi;15/02/2013 10:41:35; (21225);
;Ubah Status Verifikasi;15/02/2013 10:41:39; (21229);
;Ubah Status Verifikasi;15/02/2013 10:41:43; (21230);
;Ubah Status Verifikasi;15/02/2013 10:41:47; (21235);
;Ubah Status Verifikasi;15/02/2013 10:41:51; (21240);
;Ubah Status Verifikasi;15/02/2013 10:42:05; (23100);
;Ubah Status Verifikasi;15/02/2013 10:42:10; (23101);
;Ubah Status Verifikasi;15/02/2013 10:42:16; (23105);
;Ubah Status Verifikasi;15/02/2013 10:42:22; (23106);
;Ubah Status Verifikasi;15/02/2013 10:42:26; (23109);
;Ubah Status Verifikasi;15/02/2013 10:42:31; (23111);
;Ubah Status Verifikasi;15/02/2013 10:42:37; (23114);
;Ubah Status Verifikasi;15/02/2013 10:42:44; (23143);
;Ubah Status Verifikasi;15/02/2013 10:42:48; (23142);
;Ubah Status Verifikasi;15/02/2013 10:42:52; (23141);
;Ubah Status Verifikasi;15/02/2013 10:42:56; (23140);
;Ubah Status Verifikasi;15/02/2013 10:43:09; (26256);
;Ubah Status Verifikasi;15/02/2013 10:43:12; (26270);
;Ubah Status Verifikasi;15/02/2013 10:43:14; (26269);
;Ubah Status Verifikasi;15/02/2013 10:43:17; (26267);
;Ubah Status Verifikasi;15/02/2013 10:43:20; (26265);
