FP-1;Hapus data user;13/11/2012 07:56:30; (hapus);
;Insert data;13/11/2012 10:10:05; ();
;Ubah data Gunggung;13/11/2012 10:10:58; ();
;Insert data;13/11/2012 10:11:51; ();
;Ubah data Pkp AW Hutang Pajak;13/11/2012 10:12:31; (418);
;Insert data;13/11/2012 10:12:54; ();
;Ubah Status Verifikasi;13/11/2012 10:12:58; (9242);
;Ubah Status Verifikasi;13/11/2012 10:13:04; (9243);
;Ubah Status Verifikasi;13/11/2012 10:13:08; (9244);
;Ubah Status Verifikasi;13/11/2012 10:13:14; (9245);
opr65100;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;13/11/2012 10:13:36; di Nopend 65100;
;Ubah data;13/11/2012 10:14:42; (2748);
;Ubah data;13/11/2012 10:15:16; (2748);
;Ubah data Gunggung;13/11/2012 10:16:19; ();
opr65100;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;13/11/2012 10:17:05; di Nopend 65100;
opr65100;Ubah Data Faktur Penjualan 010.000-12.00008163;13/11/2012 10:18:14; di Nopend 65100 dengan id (9458);
opr65100;Ubah Data Faktur Penjualan 010.000-12.00008163;13/11/2012 10:18:56; di Nopend 65100 dengan id (9458);
opr65100;Ubah Data Faktur Penjualan 010.000-12.00008163;13/11/2012 10:18:59; di Nopend 65100 dengan id (9458);
;Ubah data Gunggung;13/11/2012 10:22:12; ();
opr67200;Ubah Data Faktur Penjualan 040.000-12.00008150;13/11/2012 10:22:29; di Nopend 67200 dengan id (9445);
;Ubah data Gunggung;13/11/2012 10:22:54; ();
;Insert data;13/11/2012 10:23:24; ();
;Ubah data Gunggung;13/11/2012 10:28:33; ();
;Insert data;13/11/2012 10:30:30; ();
;Ubah data Gunggung;13/11/2012 10:30:43; ();
;Ubah data Gunggung;13/11/2012 10:31:33; ();
;Insert data;13/11/2012 10:31:54; ();
;Insert data;13/11/2012 10:34:18; ();
;Ubah data Pkp AW Hutang Pajak;13/11/2012 10:34:50; (420);
;Ubah data Pkp AW Hutang Pajak;13/11/2012 10:34:53; (419);
;Ubah data Gunggung;13/11/2012 10:35:40; ();
;Ubah data Pkp AW Hutang Pajak;13/11/2012 10:35:53; (418);
;Ubah data Gunggung;13/11/2012 10:36:08; ();
;Insert data;13/11/2012 10:36:22; ();
;Insert data;13/11/2012 10:36:22; ();
;Insert data;13/11/2012 10:36:28; ();
;Ubah data Gunggung;13/11/2012 10:36:35; ();
;Insert data;13/11/2012 10:36:37; ();
;Insert data;13/11/2012 10:36:37; ();
;Ubah data Pkp AW Hutang Pajak;13/11/2012 10:36:39; (419);
;Ubah data Pkp AW Hutang Pajak;13/11/2012 10:36:49; (421);
;Insert data;13/11/2012 10:36:49; ();
;Ubah data Pkp AW Hutang Pajak;13/11/2012 10:36:53; (418);
;Insert data;13/11/2012 10:36:55; ();
;Insert data;13/11/2012 10:36:56; ();
;Ubah data Gunggung;13/11/2012 10:37:34; ();
opr80000;Insert Data Faktur Penjualan dgn Pemebeli PT. BANK BRI ( PERSERO );13/11/2012 10:37:51; di Nopend 80000;
;Ubah data Pkp AW Hutang Pajak;13/11/2012 10:38:02; (418);
;Ubah data Gunggung;13/11/2012 10:38:03; ();
;Ubah data Pkp AW Hutang Pajak;13/11/2012 10:38:39; (419);
;Insert data;13/11/2012 10:38:48; ();
;Insert data;13/11/2012 10:39:00; ();
;Insert data;13/11/2012 10:39:05; ();
;Insert data;13/11/2012 10:39:50; ();
;Insert data;13/11/2012 10:39:54; ();
;Ubah data Pkp AW Hutang Pajak;13/11/2012 10:40:03; (428);
;Ubah data Pkp AW Hutang Pajak;13/11/2012 10:41:26; (433);
;Insert data;13/11/2012 10:42:22; ();
;Ubah data;13/11/2012 10:42:46; (2702);
;Insert data;13/11/2012 10:43:23; ();
;Insert data;13/11/2012 10:43:42; ();
;Ubah data Pkp AW Hutang Pajak;13/11/2012 10:44:47; (435);
;Ubah data Pkp AW Hutang Pajak;13/11/2012 10:46:44; (436);
;Ubah data Pkp AW Hutang Pajak;13/11/2012 10:49:56; (418);
;Ubah data Pkp AW Hutang Pajak;13/11/2012 10:50:28; (419);
;Insert data;13/11/2012 10:50:39; ();
;Ubah Status Verifikasi;13/11/2012 10:51:12; (9278);
;Ubah Status Verifikasi;13/11/2012 10:51:24; (9302);
;Ubah Status Verifikasi;13/11/2012 10:51:56; (9329);
;Ubah Status Verifikasi;13/11/2012 10:52:15; (9353);
;Ubah Status Verifikasi;13/11/2012 10:52:40; (9365);
;Ubah Status Verifikasi;13/11/2012 10:52:52; (9368);
opr80000;Pembatalan Faktur Pajak Keluaran 040.000-12.00008141;13/11/2012 10:52:56; id : (9436);
;Ubah Status Verifikasi;13/11/2012 10:53:00; (9372);
;Ubah data Pkp AW Hutang Pajak;13/11/2012 10:53:06; (425);
opr66100;Ubah Data Faktur Penjualan 040.000-12.00008113;13/11/2012 10:53:31; di Nopend 66100 dengan id (9408);
;Ubah Status Verifikasi;13/11/2012 10:54:46; (2676);
;Insert data;13/11/2012 10:54:50; ();
opr62300;Ubah Data Faktur Penjualan 020.000-12.00008071;13/11/2012 10:54:55; di Nopend 62300 dengan id (9366);
;Ubah Status Verifikasi;13/11/2012 10:54:55; (2699);
;Hapus data Pembelian;13/11/2012 10:55:22; (2695);
;Insert data;13/11/2012 10:55:58; ();
opr62300;Ubah Data Faktur Penjualan 020.000-12.00008071;13/11/2012 10:56:04; di Nopend 62300 dengan id (9366);
;Ubah data Pkp AW Hutang Pajak;13/11/2012 10:56:39; (425);
;Ubah Status Verifikasi;13/11/2012 10:57:15; (9254);
;Ubah Status Verifikasi;13/11/2012 10:57:19; (2700);
;Ubah Status Verifikasi;13/11/2012 10:57:21; (9273);
;Ubah Status Verifikasi;13/11/2012 10:57:27; (9321);
;Ubah Status Verifikasi;13/11/2012 10:57:33; (9340);
;Ubah Status Verifikasi;13/11/2012 10:57:40; (9385);
;Ubah Status Verifikasi;13/11/2012 10:57:41; (9246);
;Ubah Status Verifikasi;13/11/2012 10:57:42; (9253);
;Ubah Status Verifikasi;13/11/2012 10:57:42; (9307);
;Insert data;13/11/2012 10:57:44; ();
;Ubah Status Verifikasi;13/11/2012 10:57:45; (9405);
;Ubah Status Verifikasi;13/11/2012 10:57:46; (9280);
;Ubah Status Verifikasi;13/11/2012 10:57:46; (9449);
;Ubah Status Verifikasi;13/11/2012 10:57:47; (9279);
;Ubah Status Verifikasi;13/11/2012 10:57:49; (9434);
;Ubah Status Verifikasi;13/11/2012 10:57:50; (9265);
;Ubah Status Verifikasi;13/11/2012 10:57:50; (9450);
;Ubah Status Verifikasi;13/11/2012 10:57:50; (9296);
;Ubah Status Verifikasi;13/11/2012 10:57:51; (9259);
;Ubah Status Verifikasi;13/11/2012 10:57:52; (9346);
;Ubah Status Verifikasi;13/11/2012 10:57:52; (9270);
;Ubah Status Verifikasi;13/11/2012 10:57:52; (9264);
;Ubah Status Verifikasi;13/11/2012 10:57:53; (9261);
;Ubah Status Verifikasi;13/11/2012 10:57:53; (9275);
;Ubah Status Verifikasi;13/11/2012 10:57:56; (9451);
;Ubah Status Verifikasi;13/11/2012 10:57:56; (9312);
;Ubah Status Verifikasi;13/11/2012 10:57:56; (9313);
;Ubah Status Verifikasi;13/11/2012 10:57:57; (9267);
;Ubah Status Verifikasi;13/11/2012 10:58:00; (9452);
;Ubah Status Verifikasi;13/11/2012 10:58:00; (9282);
;Ubah Status Verifikasi;13/11/2012 10:58:00; (9342);
;Ubah Status Verifikasi;13/11/2012 10:58:01; (9274);
;Ubah Status Verifikasi;13/11/2012 10:58:01; (9317);
;Ubah Status Verifikasi;13/11/2012 10:58:03; (9392);
;Ubah Status Verifikasi;13/11/2012 10:58:06; (9453);
;Ubah Status Verifikasi;13/11/2012 10:58:06; (9318);
;Ubah Status Verifikasi;13/11/2012 10:58:07; (9272);
;Ubah Status Verifikasi;13/11/2012 10:58:07; (9297);
;Ubah Status Verifikasi;13/11/2012 10:58:08; (9285);
;Ubah Status Verifikasi;13/11/2012 10:58:09; (9269);
;Ubah Status Verifikasi;13/11/2012 10:58:09; (9258);
;Insert data;13/11/2012 10:58:09; ();
;Ubah Status Verifikasi;13/11/2012 10:58:10; (9454);
;Ubah Status Verifikasi;13/11/2012 10:58:10; (9380);
;Ubah Status Verifikasi;13/11/2012 10:58:10; (9392);
;Ubah Status Verifikasi;13/11/2012 10:58:10; (9310);
;Ubah Status Verifikasi;13/11/2012 10:58:10; (9298);
;Ubah Status Verifikasi;13/11/2012 10:58:11; (9414);
;Ubah Status Verifikasi;13/11/2012 10:58:11; (9338);
;Insert data;13/11/2012 10:58:12; ();
;Ubah Status Verifikasi;13/11/2012 10:58:12; (9304);
;Ubah Status Verifikasi;13/11/2012 10:58:12; (9293);
;Ubah Status Verifikasi;13/11/2012 10:58:13; (2719);
;Ubah Status Verifikasi;13/11/2012 10:58:13; (9400);
;Ubah Status Verifikasi;13/11/2012 10:58:14; (9276);
;Ubah Status Verifikasi;13/11/2012 10:58:15; (9456);
;Ubah Status Verifikasi;13/11/2012 10:58:15; (9336);
;Ubah Status Verifikasi;13/11/2012 10:58:16; (9437);
;Ubah Status Verifikasi;13/11/2012 10:58:16; (9435);
;Ubah Status Verifikasi;13/11/2012 10:58:16; (9378);
;Ubah Status Verifikasi;13/11/2012 10:58:18; (9344);
;Ubah Status Verifikasi;13/11/2012 10:58:18; (9277);
;Ubah Status Verifikasi;13/11/2012 10:58:18; (9281);
