964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:09:02; di Nopend 12000;
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:10:37; di Nopend 12000;
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:12:03; di Nopend 12000;
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:15:13; di Nopend 12000;
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:17:15; di Nopend 12000;
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:18:51; di Nopend 12000;
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:20:46; di Nopend 12000;
;Ubah Status Verifikasi;14/01/2013 17:22:07; (29137);
;Ubah Status Verifikasi;14/01/2013 17:22:27; (29138);
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:22:31; di Nopend 12000;
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:23:53; di Nopend 12000;
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:26:08; di Nopend 12000;
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:27:23; di Nopend 12000;
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:30:17; di Nopend 12000;
;Ubah Status Verifikasi;14/01/2013 17:31:41; (17454);
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:31:45; di Nopend 12000;
;Ubah Status Verifikasi;14/01/2013 17:33:02; (17783);
;Ubah Status Verifikasi;14/01/2013 17:33:17; (17786);
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:33:34; di Nopend 12000;
;Ubah Status Verifikasi;14/01/2013 17:33:49; (17787);
;Ubah Status Verifikasi;14/01/2013 17:33:54; (17788);
;Ubah Status Verifikasi;14/01/2013 17:33:58; (17789);
;Ubah Status Verifikasi;14/01/2013 17:34:02; (17790);
;Ubah Status Verifikasi;14/01/2013 17:34:07; (17791);
;Ubah Status Verifikasi;14/01/2013 17:34:56; (17455);
;Ubah Status Verifikasi;14/01/2013 17:35:00; (17456);
;Ubah Status Verifikasi;14/01/2013 17:35:06; (17457);
;Ubah Status Verifikasi;14/01/2013 17:35:11; (17458);
;Ubah Status Verifikasi;14/01/2013 17:35:15; (17459);
;Ubah Status Verifikasi;14/01/2013 17:35:19; (17460);
;Ubah Status Verifikasi;14/01/2013 17:35:55; (17869);
;Ubah Status Verifikasi;14/01/2013 17:36:00; (17870);
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:36:02; di Nopend 12000;
;Ubah Status Verifikasi;14/01/2013 17:36:05; (17871);
;Ubah Status Verifikasi;14/01/2013 17:36:11; (17872);
;Ubah Status Verifikasi;14/01/2013 17:36:15; (17873);
;Ubah Status Verifikasi;14/01/2013 17:36:20; (17874);
;Ubah Status Verifikasi;14/01/2013 17:36:25; (17875);
;Ubah Status Verifikasi;14/01/2013 17:36:29; (17876);
;Ubah Status Verifikasi;14/01/2013 17:36:34; (17877);
;Ubah Status Verifikasi;14/01/2013 17:36:39; (17878);
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:37:26; di Nopend 12000;
;Ubah Status Verifikasi;14/01/2013 17:37:27; (17911);
;Ubah Status Verifikasi;14/01/2013 17:37:32; (17912);
;Ubah Status Verifikasi;14/01/2013 17:37:34; (17914);
;Ubah Status Verifikasi;14/01/2013 17:37:38; (17913);
;Ubah Status Verifikasi;14/01/2013 17:37:43; (17915);
;Ubah Status Verifikasi;14/01/2013 17:38:36; (17174);
;Ubah Status Verifikasi;14/01/2013 17:38:41; (17175);
;Ubah Status Verifikasi;14/01/2013 17:38:45; (17176);
;Ubah Status Verifikasi;14/01/2013 17:38:51; (17177);
;Ubah Status Verifikasi;14/01/2013 17:38:55; (17179);
;Ubah Status Verifikasi;14/01/2013 17:38:59; (17178);
;Ubah Status Verifikasi;14/01/2013 17:39:02; (17180);
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:39:16; di Nopend 12000;
;Ubah Status Verifikasi;14/01/2013 17:39:46; (17024);
;Ubah Status Verifikasi;14/01/2013 17:39:53; (17029);
;Ubah Status Verifikasi;14/01/2013 17:39:56; (17030);
;Ubah Status Verifikasi;14/01/2013 17:40:01; (17032);
;Ubah Status Verifikasi;14/01/2013 17:40:05; (17031);
;Ubah Status Verifikasi;14/01/2013 17:40:43; (17522);
;Ubah Status Verifikasi;14/01/2013 17:40:48; (17523);
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:40:49; di Nopend 12000;
;Ubah Status Verifikasi;14/01/2013 17:40:53; (17514);
;Ubah Status Verifikasi;14/01/2013 17:40:58; (17515);
;Ubah Status Verifikasi;14/01/2013 17:41:02; (17516);
;Ubah Status Verifikasi;14/01/2013 17:41:06; (17517);
;Ubah Status Verifikasi;14/01/2013 17:41:10; (17518);
;Ubah Status Verifikasi;14/01/2013 17:41:16; (17519);
;Ubah Status Verifikasi;14/01/2013 17:41:20; (17520);
;Ubah Status Verifikasi;14/01/2013 17:41:25; (17521);
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:43:01; di Nopend 12000;
;Ubah Status Verifikasi;14/01/2013 17:44:09; (17318);
;Ubah Status Verifikasi;14/01/2013 17:44:13; (17310);
;Ubah Status Verifikasi;14/01/2013 17:44:18; (17311);
;Ubah Status Verifikasi;14/01/2013 17:44:24; (17312);
;Ubah Status Verifikasi;14/01/2013 17:44:29; (17313);
;Ubah Status Verifikasi;14/01/2013 17:44:34; (17316);
;Ubah Status Verifikasi;14/01/2013 17:44:38; (17317);
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:45:09; di Nopend 12000;
;Ubah Status Verifikasi;14/01/2013 17:45:10; (16702);
;Ubah Status Verifikasi;14/01/2013 17:45:14; (16703);
;Ubah Status Verifikasi;14/01/2013 17:45:19; (16704);
;Ubah Status Verifikasi;14/01/2013 17:45:25; (16705);
;Ubah Status Verifikasi;14/01/2013 17:45:29; (16706);
;Ubah Status Verifikasi;14/01/2013 17:45:34; (16707);
;Ubah Status Verifikasi;14/01/2013 17:46:04; (17108);
;Ubah Status Verifikasi;14/01/2013 17:46:09; (17117);
;Ubah Status Verifikasi;14/01/2013 17:46:14; (17130);
;Ubah Status Verifikasi;14/01/2013 17:46:19; (17131);
;Ubah Status Verifikasi;14/01/2013 17:46:23; (17132);
;Ubah Status Verifikasi;14/01/2013 17:46:27; (17082);
;Ubah Status Verifikasi;14/01/2013 17:46:33; (17078);
;Ubah Status Verifikasi;14/01/2013 17:46:38; (17083);
;Ubah Status Verifikasi;14/01/2013 17:46:42; (17103);
;Ubah Status Verifikasi;14/01/2013 17:46:46; (17105);
;Ubah Status Verifikasi;14/01/2013 17:47:15; (17148);
;Ubah Status Verifikasi;14/01/2013 17:47:20; (17076);
;Ubah Status Verifikasi;14/01/2013 17:47:25; (17077);
;Ubah Status Verifikasi;14/01/2013 17:47:29; (17079);
;Ubah Status Verifikasi;14/01/2013 17:47:33; (17140);
;Ubah Status Verifikasi;14/01/2013 17:47:37; (17080);
;Ubah Status Verifikasi;14/01/2013 17:47:42; (17081);
;Ubah Status Verifikasi;14/01/2013 17:48:10; (17431);
;Ubah Status Verifikasi;14/01/2013 17:48:16; (17432);
;Ubah Status Verifikasi;14/01/2013 17:48:20; (17433);
;Ubah Status Verifikasi;14/01/2013 17:48:25; (17434);
;Ubah Status Verifikasi;14/01/2013 17:48:30; (17435);
;Ubah Status Verifikasi;14/01/2013 17:48:35; (17436);
;Ubah Status Verifikasi;14/01/2013 17:48:40; (17437);
;Ubah Status Verifikasi;14/01/2013 17:48:45; (17438);
;Ubah Status Verifikasi;14/01/2013 17:48:50; (17439);
;Ubah Status Verifikasi;14/01/2013 17:48:54; (17440);
;Ubah Status Verifikasi;14/01/2013 17:48:59; (17441);
;Ubah Status Verifikasi;14/01/2013 17:49:03; (17442);
;Ubah Status Verifikasi;14/01/2013 17:49:40; (17100);
;Ubah Status Verifikasi;14/01/2013 17:49:46; (17101);
;Ubah Status Verifikasi;14/01/2013 17:49:51; (17102);
;Ubah Status Verifikasi;14/01/2013 17:49:54; (17093);
;Ubah Status Verifikasi;14/01/2013 17:49:58; (17097);
;Ubah Status Verifikasi;14/01/2013 17:50:25; (17512);
;Ubah Status Verifikasi;14/01/2013 17:50:29; (17513);
;Ubah Status Verifikasi;14/01/2013 17:50:34; (17506);
;Ubah Status Verifikasi;14/01/2013 17:50:39; (17507);
;Ubah Status Verifikasi;14/01/2013 17:50:43; (17509);
;Ubah Status Verifikasi;14/01/2013 17:50:47; (17510);
;Ubah Status Verifikasi;14/01/2013 17:50:52; (17511);
;Ubah Status Verifikasi;14/01/2013 17:51:23; (17443);
;Ubah Status Verifikasi;14/01/2013 17:51:27; (17444);
;Ubah Status Verifikasi;14/01/2013 17:51:33; (17445);
;Ubah Status Verifikasi;14/01/2013 17:51:39; (17446);
;Ubah Status Verifikasi;14/01/2013 17:51:43; (17447);
;Ubah Status Verifikasi;14/01/2013 17:51:48; (17448);
;Ubah Status Verifikasi;14/01/2013 17:51:52; (17449);
;Ubah Status Verifikasi;14/01/2013 17:51:57; (17450);
964195665;Ubah Data Faktur Penjualan 010.000-13.00000054;14/01/2013 17:52:27; di Nopend 12000 dengan id (30319);
;Ubah Status Verifikasi;14/01/2013 17:52:35; (17994);
;Ubah Status Verifikasi;14/01/2013 17:52:39; (17995);
;Ubah Status Verifikasi;14/01/2013 17:52:43; (17996);
;Ubah Status Verifikasi;14/01/2013 17:52:48; (17997);
;Ubah Status Verifikasi;14/01/2013 17:52:52; (17998);
;Ubah Status Verifikasi;14/01/2013 17:52:57; (17999);
;Ubah Status Verifikasi;14/01/2013 17:53:01; (18000);
;Ubah Status Verifikasi;14/01/2013 17:53:29; (17184);
;Ubah Status Verifikasi;14/01/2013 17:53:31; (17188);
;Ubah Status Verifikasi;14/01/2013 17:53:34; (17190);
;Ubah Status Verifikasi;14/01/2013 17:53:39; (17189);
;Ubah Status Verifikasi;14/01/2013 17:53:43; (17191);
964195665;Ubah Data Faktur Penjualan 010.000-13.00000055;14/01/2013 17:53:46; di Nopend 12000 dengan id (30320);
;Ubah Status Verifikasi;14/01/2013 17:53:48; (17192);
